Random1
First layer
80.72483655444438+13.603564577673126: 0.0
94.3284011321175+0.6700195260749588: 6.439293542825908e-15
2.2642801279323415+-16.787612446415: 0.0
-0.08228296393520905+-13.136104206089835: -7.632783294297951e-16
15.34868810333467+5.953501038395161: 8.881784197001252e-16
1.1667783419638087+-9.660772153458792: -4.440892098500626e-16
-6.084604874567971+-7.38763880619626: -8.881784197001252e-16
-3.1122375973968976+8.365711046954923: 0.0
-5.965519153126675+-10.468228344731505: 8.881784197001252e-16
-25.582339332884814+-2.1709563568533112: -1.3322676295501878e-15
-3.4985449965187176+0.38905420265716223: -1.6653345369377348e-16
-13.218387170025043+-3.252179012781145: 0.0
-13.47224368076423+-16.43374749785818: 0.0
-5.709421020400905+19.985660721350538: 0.0
17.766218365218887+12.749369652957071: 0.0
1.2852631562971095+0.47014254527485216: -5.551115123125783e-17
-3.1094907938615552+-16.81168932471534: -1.7763568394002505e-15
-19.537192125593194+12.892518137313258: 0.0
-3.6602099023432264+-0.84854510841937: 4.440892098500626e-16
-12.57505492477803+3.4979876659489615: -4.440892098500626e-16
-4.508755010762597+-2.555428455384747: 0.0
-14.523332318482659+1.2295207999581568: -6.661338147750939e-16
-5.46745342401918+-11.030817768906198: 1.7763568394002505e-15
3.688067474684707+0.31161626535046694: 1.1102230246251565e-16
-6.262555028683278+34.935557179360956: -8.881784197001252e-16
-6.256602720902956+22.183892405647427: 0.0
28.95564705514143+-1.67375604666723: -8.881784197001252e-16
-11.012985828039017+1.8583668742096813: 4.440892098500626e-16
21.30218914172983+94.99842065819246: 3.552713678800501e-15
-16.470566182806188+3.9996837400351737: 0.0
-12.470882442771014+9.76922320032573: 0.0
-0.8122767308185956+12.332576383301005: 0.0
-7.058765134344115+116.30060979992228: -8.881784197001252e-16
-7.064183466147344+-30.974784956893867: 8.881784197001252e-16
-0.3929021283176075+81.38228607819306: -6.217248937900877e-15
10.08668461786516+0.3991647660704132: 0.0
-19.921180118576892+10.485849383935573: 0.0
-1.277937010400165+16.59958758904336: 6.661338147750939e-16
12.631367795775681+-9.154618953829337: 0.0
-14.50416322302561+-16.49827119292538: 0.0
-29.90599117862241+-3.0783703113325585: 8.881784197001252e-16
-13.293811518524501+-3.292937553747848: -1.7763568394002505e-15
4.672756794437309+30.515588018175958: 8.881784197001252e-16
35.188344812613266+0.9978932397028343: 1.2212453270876722e-15
-27.753295689738124+15.321650578643194: 0.0
1.7554057015719617+5.253473449558025: -2.220446049250313e-16
-12.43164511109493+14.276239700949633: 0.0
3.7721097956079874+11.184804718117029: 4.440892098500626e-16
-31.00243441595099+-2.2819733166838643: -4.440892098500626e-16
-9.435330734641319+-9.077067258829068: 0.0
80.98938394987546+32.92659024218541: 0.0
-13.169397612016104+-33.284407732634854: 1.7763568394002505e-15
-32.98436148995497+-16.586749072272347: 0.0
-6.644673988279935+7.008879151129987: 0.0
36.1862380523161+-49.57111056222732: 0.0
11.520299652482409+-9.938502169066506: 0.0
4.663207056048268+3.409535420052305: 8.881784197001252e-16
-10.958462488299544+8.306055938444167: 0.0
-0.30626458621020286+-3.1054567099029273: -1.6653345369377348e-16
113.91597419206087+-27.9602322585715: -7.105427357601002e-15
-5.304090031084132+-39.51437958285336: -2.6645352591003757e-15
0.5175017410561988+14.956914513725016: 0.0
3.4767488419463444+7.806934751990765: 0.0
1.8445945898547027+-6.208417816717388: 0.0
-2.7016592424452845+2.713245229048044: 0.0
-2.870069510016522+4.266830387491941: 0.0
8.072742476100572+14.327256945846234: 0.0
-18.512397993470387+28.67300215067768: 0.0
-46.45380534465096+-8.493993811494983: -1.7763568394002505e-15
-13.236384502257504+85.95574193348938: 3.552713678800501e-15
10.160604157207292+15.927289684744471: 1.7763568394002505e-15
0.13308612832028463+5.631335396198097: -2.7755575615628914e-17
22.399999421946806+18.33790099913602: 0.0
-2.6524065498553764+-9.7501964723738: 0.0
27.2818910084742+26.08789384195176: 3.552713678800501e-15
-4.363823226862685+1.3967608774754194: 0.0
-54.94779915614594+-44.81846961393749: 0.0
-12.402603022229176+109.24184466557817: -3.552713678800501e-15
0.011585986602759668+13.676397922120447: -8.881784197001252e-16
-38.03896842304121+-3.372581500203548: 3.552713678800501e-15
0.3642051628500518+15.474416254781215: 0.0
-99.76626877008343+1.5817974834159028: 5.329070518200751e-15
-41.41154992324476+40.73790042108283: 0.0
53.36978485042596+-98.18447128666753: 0.0
-0.6736495021619362+3.9818432728935673: 0.0
-44.81468643624157+96.839241643349: 0.0
13.687983908723208+6.972706074000878: -8.881784197001252e-16
52.024555207107426+20.660689982724087: 7.105427357601002e-15
15.838621417631266+4.570437122422249: 8.881784197001252e-16
20.409058540053515+5.764421524518382: -8.881784197001252e-16
-13.384872509911219+-3.41172129611313: -1.3322676295501878e-15
11.28368359393711+3.308193770731631: 4.440892098500626e-16
72.71935743123187+26.173480064571898: -7.105427357601002e-15
72.6852451898315+98.89283749580378: 0.0
171.57808268563528+-2.9670623493872657: 1.1102230246251565e-14
-16.796593806024347+14.59187736466874: 0.0
-2.2047164413556075+168.611020336248: -7.105427357601002e-15
2.3195027304608375+11.140635837265304: 8.881784197001252e-16
13.416450416222995+-18.552946906640187: 0.0
-10.367184063751177+2.9560215961508196: 4.440892098500626e-16
-5.269799693800082+-6.66816671157585: -8.881784197001252e-16
11.961923455078528+14.360216177217941: 0.0
-11.00347969174604+5.258134514771891: 0.0
-0.8245552075331136+-2.1622713182711695: -1.1102230246251565e-16
-1.8121445541989694+-36.47805203673596: -3.552713678800501e-15
-2.986826525804283+-0.09188039334786266: -1.942890293094024e-16
22.812115595328102+1.1186123169810143: -2.220446049250313e-16
-4.757446222466128+10.678168529774155: 0.0
9.933827060950552+-2.9429959444307014: 0.0
14.177711037036504+-10.880646920630552: 0.0
-13.359738314671278+-1.0989938080418369: -6.661338147750939e-16
-0.8145092108281501+-5.446829802070008: -3.3306690738754696e-16
2.3125693088224684+23.930727912309116: 4.440892098500626e-16
-7.411162467600358+-4.744323236170481: 8.881784197001252e-16
5.510968408912632+10.693096894403302: -1.7763568394002505e-15
-4.4578318491546645+-0.3381920064747361: -3.885780586188048e-16
9.067006075244407+23.022205690127244: 0.0
-38.290196590934926+52.77374306383273: 0.0
-27.81298002961912+0.7426346923730767: -2.220446049250313e-16
7.314818188599171+-1.9524964565931537: -2.220446049250313e-16
-1.565753484502757+-4.640472843945588: 0.0
-0.0648862107014591+3.6522926961814095: -1.5265566588595902e-16
-22.88897270160713+-8.77446234717443: -1.7763568394002505e-15
-12.15548570377084+0.33093160302083907: 8.326672684688674e-16
-1.1509415064807382+50.12057429548277: 3.1086244689504383e-15
8.70390355205444+-5.136496490417192: 0.0
12.717135195552066+-0.6765064465105712: -6.661338147750939e-16
5.362321732006017+15.737578625806764: -8.881784197001252e-16
3.5874064854799506+-14.07275525903857: -4.440892098500626e-16
5.079096573268175+1.9553142881896113: 0.0
1.4124357257658267+0.588201821399313: 0.0
3.297064116405952+-0.04240407148618392: 4.85722573273506e-17
-5.7453451769741495+0.5794066826029539: -3.3306690738754696e-16
14.483546472897807+-2.1691999507018638: -8.881784197001252e-16
-9.631770246976103+4.4534546516518905: 0.0
-27.070345337246042+-15.10952938736926: 0.0
-0.003621019494804626+-8.930242039818: 1.2967057982926633e-16
5.7356868549604405+-7.415907824619526: 0.0
26.32213963229647+12.314346522195944: -3.552713678800501e-15
0.740585147017786+-3.008503962472688: -2.220446049250313e-16
3.2546600449197682+-5.103269746363317: 0.0
21.099900357812782+-4.7960238556294: 0.0
-5.538056727367243+-14.458732122713114: 0.0
